[root@rcNET]# ./dns_latency 

PID   COMM            DADDR            DPORT SADDR            SPORT LAT(ms)     
24634 nslookup        172.16.80.11     53    172.16.33.90     21996 0.767000    
24634 nslookup        172.16.80.11     53    172.16.33.90     57756 12.931000   
24510 TaskSchedulerFo 172.16.80.11     53    172.16.33.90     15761 14.016000   
24510 TaskSchedulerFo 172.16.80.11     53    172.16.33.90     16520 0.889000    
24642 nslookup        172.16.80.11     53    172.16.33.90     38823 32.645000   
24510 TaskSchedulerFo 172.16.80.11     53    172.16.33.90     27571 0.872000    
2479  DNS Resolver #1 172.16.80.11     53    172.16.33.90     23229 0.853000
24873 tracepath       172.16.80.11     53    172.16.33.90     61108 0.889000    
24873 tracepath       172.16.80.11     53    172.16.33.90     22708 0.857000    
24873 tracepath       172.16.80.11     53    172.16.33.90     50595 0.722000    
24873 tracepath       172.16.80.11     53    172.16.33.90     42412 0.679000    
24875 NetworkManager  172.16.80.11     53    172.16.33.90     18834 1.055000    
24876 traceroute      172.16.80.11     53    172.16.33.90     37085 0.944000    
24876 traceroute      172.16.80.11     53    172.16.33.90     55728 0.592000
